1,1,12,0.87
1,2,7,0.24
2,1,10,1.13
3,1,7,0.26
3,2,12,1.01
4,1,12,1.14
5,1,12,1.14
7,1,14,1.87
8,1,14,1.91
9,1,8,2.32
11,1,7,1.99
12,1,10,1.13
13,1,10,0.96
14,1,10,0.29
16,1,3,1.83
16,2,14,1.99
17,1,10,1.33
18,1,10,1.43
19,1,10,1.13
20,1,10,0.26
21,1,12,1.01
22,1,12,1.06
23,1,10,1.26
24,1,12,0.94
25,1,10,1.10
26,1,7,0.87
27,1,4,0.39
28,1,7,0.65
29,1,4,0.13
30,1,7,0.93
32,1,7,1.11
34,1,4,0.10
35,1,4,0.13
36,1,7,0.95
38,1,7,0.45
39,1,1,2.40
41,1,1,0.80
42,1,4,0.16
50,1,11,0.98
51,1,13,1.02
52,1,13,1.04
53,1,13,1.15
54,1,9,1.14
55,1,9,1.17
56,1,9,1.31
57,1,9,0.93
58,1,9,1.01
59,1,9,1.12
60,1,9,0.98
61,1,11,0.28
62,1,9,0.28
63,1,4,12.28
67,1,4,2.59
68,1,4,2.38
69,1,4,1.97
70,1,4,4.29
71,1,4,2.82
72,1,4,2.91
73,1,4,3.38
74,1,4,3.18
75,1,1,1.99
76,1,4,1.81
78,1,4,1.27
78,2,7,0.20
80,1,4,3.33
82,1,4,1.15
82,2,7,0.42
84,1,1,0.50
84,2,2,1.00
84,3,10,1.00
85,1,4,1.33
90,1,4,2.11
92,1,9,1.00
92,2,4,2.00
93,1,9,1.72
94,1,9,1.52
95,1,11,1.00
99,1,7,0.50
99,2,10,1.00
100,1,10,1.03
101,1,10,0.95
102,1,10,2.72
104,1,7,2.30
107,1,7,1.52
110,1,7,1.12
111,1,7,2.56
112,1,7,0.00
114,1,7,2.28
116,1,7,2.27
117,1,7,2.26
119,1,7,1.45
120,1,7,2.72
122,1,7,2.70
124,1,7,2.70
125,1,3,0.55
126,1,7,2.72
128,1,7,2.72
129,1,2,1.50
130,1,7,2.72
132,1,7,3.07
133,1,7,0.70
134,1,7,3.25
135,1,4,0.49
135,2,7,0.98
136,1,7,1.90
137,1,7,0.50
138,1,7,2.19
139,1,7,2.55
140,1,7,0.82
141,1,7,2.90
142,1,7,2.63
143,1,4,0.76
144,1,7,1.12
146,1,8,1.80
147,1,8,0.05
149,1,7,1.34
149,2,10,1.32
150,1,10,2.25
150,2,2,0.47
151,1,2,0.47
151,2,7,1.34
151,3,14,2.21
152,1,14,0.91
153,1,14,2.15
154,1,10,0.67
155,1,10,1.00
155,2,2,0.50
155,3,7,0.00
157,1,8,2.43
158,1,7,1.25
158,2,14,2.60
159,1,14,3.06
160,1,7,1.14
160,2,14,2.35
161,1,10,0.58
162,1,10,3.15
163,1,14,3.59
164,1,10,2.90
165,1,10,3.08
166,1,7,1.96
166,2,10,2.70
167,1,10,2.60
168,1,10,2.81
169,1,14,2.92
170,1,10,2.92
171,1,14,3.01
172,1,14,3.34
173,1,14,2.78
174,1,10,2.83
175,1,2,1.50
175,2,7,1.50
175,3,12,2.00
176,1,8,1.24
177,1,1,0.40
177,2,2,0.87
177,3,7,0.23
177,4,10,1.80
178,1,2,2.91
178,2,7,4.66
178,3,10,1.67
179,1,2,1.50
179,2,10,2.00
179,3,1,0.50
180,1,7,0.68
180,2,10,2.97
180,3,1,2.60
181,1,14,2.55
182,1,12,3.07
183,1,10,2.66
186,1,10,3.13
187,1,10,2.31
188,1,14,2.58
189,1,14,2.75
190,1,10,1.22
191,1,10,1.34
192,1,10,2.37
193,1,14,2.78
194,1,10,2.65
195,1,14,3.08
196,1,8,3.47
197,1,10,2.61
198,1,10,1.51
199,1,12,1.85
200,1,10,2.56
201,1,7,1.50
201,2,12,1.00
202,1,12,1.37
203,1,7,1.50
203,2,12,1.00
204,1,10,2.17
205,1,12,2.04
206,1,7,0.28
206,2,12,0.56
207,1,12,1.30
208,1,8,4.03
209,1,14,3.37
210,1,14,3.43
211,1,10,1.60
212,1,4,0.50
212,2,7,0.00
212,3,10,3.00
213,1,14,2.55
214,1,7,1.50
214,2,12,3.00
214,3,1,0.50
214,4,4,1.00
215,1,2,2.00
215,2,7,1.00
215,3,10,2.50
216,1,2,1.00
216,2,7,0.00
216,3,8,0.50
217,1,2,0.67
217,2,7,0.71
217,3,14,4.14
218,1,2,2.77
218,2,7,3.99
218,3,10,2.05
219,1,14,2.91
220,1,8,3.63
222,1,8,3.28
223,1,3,1.58
224,1,3,1.19
225,1,3,1.90
226,1,3,1.39
227,1,3,0.87
228,1,3,1.12
229,1,4,1.34
230,1,3,1.74
231,1,3,3.54
232,1,3,2.34
233,1,7,1.09
234,1,7,0.81
235,1,3,1.75
237,1,3,1.03
238,1,3,1.38
239,1,4,1.46
240,1,3,1.62
241,1,3,0.50
242,1,4,1.31
243,1,3,2.09
244,1,3,2.09
245,1,4,1.13
246,1,3,0.62
247,1,3,0.65
248,1,3,1.27
249,1,3,1.61
250,1,7,0.05
250,2,3,1.48
251,1,3,1.91
253,1,3,1.69
255,1,3,1.54
256,1,3,1.74
257,1,3,2.53
259,1,3,2.00
260,1,4,1.50
261,1,3,0.28
266,1,4,1.24
268,1,4,1.61
271,1,3,0.68
272,1,3,0.80
