"FoodID","PyramidCategoryOrder","PyramidCategoryID","HighFat","HighSugar","PyramidValue"
130,1,11,0,0,3.23
130,2,76,,,3.23
132,1,11,0,0,3.65
132,2,77,,,142.00
133,1,11,0,0,0.54
133,2,77,,,31.00
134,1,11,0,0,3.41
134,2,77,,,146.00
135,1,11,0,0,1.00
135,2,77,,,71.00
136,1,11,0,0,2.00
136,2,76,,,1.98
137,1,11,0,0,0.50
137,2,77,,,22.00
138,1,11,0,0,2.60
138,2,76,,,2.60
139,1,11,0,0,2.33
139,2,76,,,2.33
140,1,11,0,0,0.73
140,2,76,,,0.73
141,1,11,0,0,3.45
141,2,77,,,144.00
142,1,11,0,0,2.67
142,2,76,,,2.67
143,1,11,0,0,0.93
143,2,77,,,58.00
144,1,11,0,0,0.72
144,2,77,,,50.00
146,1,22,0,0,0.75
146,2,74,,,2.25
147,1,7,0,0,0.33
147,2,74,,,0.99
149,1,14,0,0,1.17
149,2,19,0,0,0.35
149,3,72,,,1.17
149,4,74,,,1.07
149,5,77,,,56.00
150,1,14,0,0,0.45
150,2,19,0,0,0.65
150,3,21,0,0,0.92
150,4,72,,,0.45
150,5,74,,,1.97
150,6,77,,,38.00
151,1,14,0,0,0.45
151,2,19,0,0,0.65
151,3,21,0,0,1.11
151,4,72,,,0.45
151,5,74,,,1.95
151,6,77,,,46.00
152,1,22,0,0,0.75
152,2,74,,,2.25
153,1,7,0,0,1.00
153,2,74,,,3.00
153,3,76,,,1.22
154,1,7,0,0,0.28
154,2,74,,,0.84
154,3,76,,,0.73
155,1,14,0,0,0.30
155,2,19,0,0,0.32
155,3,72,,,0.30
155,4,74,,,0.96
155,5,77,,,22.00
157,1,7,0,0,1.00
157,2,74,,,3.00
158,1,14,0,0,0.63
158,2,19,0,0,0.69
158,3,72,,,0.63
158,4,74,,,2.09
158,5,77,,,39.00
159,1,7,0,0,1.00
159,2,74,,,3.00
159,3,76,,,1.74
160,1,17,0,0,0.25
160,2,19,0,0,0.50
160,3,21,0,0,1.00
160,4,71,,,0.12
160,5,74,,,1.50
160,6,77,,,104.00
161,1,11,0,0,1.50
161,2,77,,,47.37
162,1,7,1,0,1.00
162,2,77,,,83.87
162,3,74,,,3.00
163,1,7,0,0,1.00
163,2,77,,,0.00
163,3,74,,,3.00
164,1,7,1,0,1.00
164,2,77,,,43.92
164,3,74,,,3.00
165,1,7,1,0,1.00
165,2,77,,,60.21
165,3,74,,,3.00
166,1,7,1,0,1.00
166,2,77,,,128.96
166,3,74,,,3.00
167,1,7,1,0,1.00
167,2,77,,,14.68
167,3,74,,,3.00
168,1,7,1,0,1.00
168,2,77,,,33.13
168,3,74,,,3.00
169,1,7,0,0,1.00
169,2,74,,,3.00
170,1,7,1,0,1.00
170,2,77,,,36.89
170,3,74,,,3.00
171,1,7,0,0,1.00
171,2,74,,,3.00
172,1,7,0,0,1.00
172,2,77,,,0.00
172,3,74,,,3.00
173,1,7,0,0,1.00
173,2,74,,,3.00
174,1,7,1,0,1.00
174,2,77,,,33.28
174,3,74,,,3.00
175,1,16,0,0,1.09
175,2,19,1,0,0.74
175,3,21,0,0,4.37
175,4,71,,,0.54
175,5,74,,,2.23
175,6,77,,,155.00
176,1,7,0,0,0.49
176,2,74,,,1.48
177,1,16,0,0,0.37
177,2,17,0,0,0.37
177,3,19,0,0,0.61
177,4,71,,,0.37
177,5,74,,,1.84
177,6,77,,,83.00
178,1,14,1,0,2.50
178,2,17,0,0,1.00
178,3,19,0,0,0.75
178,4,71,,,0.50
178,5,72,,,2.50
178,6,74,,,2.25
178,7,77,,,223.00
179,1,17,0,0,1.25
179,2,24,0,0,1.00
179,3,71,,,0.62
179,4,74,,,6.00
180,1,16,0,0,0.31
180,2,17,0,0,0.31
180,3,19,1,0,1.00
180,4,71,,,0.31
180,5,74,,,3.00
180,6,77,,,104.00
181,1,7,0,0,1.00
181,2,74,,,3.00
182,1,7,1,0,1.00
182,2,77,,,145.49
182,3,74,,,3.00
183,1,7,1,0,1.00
183,2,77,,,18.12
183,3,74,,,3.00
186,1,7,1,0,1.00
186,2,77,,,71.85
186,3,74,,,3.00
187,1,7,0,0,1.00
187,2,77,,,1.43
187,3,74,,,3.00
188,1,7,0,0,0.95
188,2,74,,,2.85
189,1,7,0,0,1.00
189,2,74,,,3.00
190,1,7,1,0,0.98
190,2,74,,,2.96
191,1,7,0,0,0.49
191,2,77,,,31.16
191,3,74,,,1.48
192,1,7,1,0,1.00
192,2,77,,,18.96
192,3,74,,,3.00
193,1,7,0,0,1.00
193,2,77,,,0.00
